Industry,CASH_AND_CASH_EQUIVALENTS_floored1,COST_OF_GOODS_SOLD_1,CURRENT_ASSETS_1,CURRENT_LIABILITIES_1,DEPRECIATION_1,EBITDA_1,FIXED_AND_NON_CURRENT_ASSETS_1,GROSS_PROFIT_1,INTEREST_EXPENSE_1,LONG_TERM_DEBT_1,NET_FIXED_ASSETS_1,NET_INCOME_1,NET_INTANGIBLES_1,NET_TRADE_RECV_1,NON_CURRENT_LIABILITIES_1,RETAINED_EARNINGS_1,TOTAL_ASSETS_1,TOTAL_DEBT_1,TOTAL_INVENTORY_1,TURNOVER_1,WORKING_CAPITAL_1,Debt_to_TNW_1,Equity_to_Liability_1,Equity_to_Assets_1,Long_Term_Debt_to_Equity_1,NetFixedAssets_to_TotalDebt_1,Total_Liab_to_Total_Assets_1,EBITDA_to_total_Debt_1,EBITDA_to_Interest_1,EBITDA_to_curr_liab_1,Cash_to_Total_assets_1,Current_Ratio_1,Liquidity_Ratio_1,Curr_to_Total_Assets_1,Gross_Margin_perc_1,Net_Income_Margin_1,Total_Liab_to_Total_Assets_2_1,Default
Wholesale,323773,,476381,516192,78247,357842,1953656,2527734,59291,1101146,1953654,150315,1,121478,1101146,812561,2430037,1360855,,2527734,-39811,1.6745,0.5025,0.3344,1.3549,1.4356,0.6656,0.263,6.0353,0.6932,0.1332,0.9229,0.8626,0.196,,5.9466,-0.0501,0
EduArtsHealthSocial,18593,11753,21913,257405,6988,42274,668688,124057,6456,,609921,28829,58767,,,433195,690600,255496,,135810,-235493,0.6824,1.6829,0.6273,,2.3872,0.3727,0.1655,6.5479,0.1642,0.0269,0.0851,,0.0317,91.3457,21.2275,-0.0472,0
Retail,202720,3420276,665190,373352,76899,406223,542187,1577802,11742,205530,520062,272950,22124,71143,282894,551127,1207376,337678,318856,4998079,291837,0.6383,0.8398,0.4565,0.3729,1.5401,0.5435,1.203,34.5947,1.088,0.1679,1.7817,0.7335,0.5509,31.5682,5.4611,-0.3119,1
Agriculture - Other,87515,7905311,1820195,2153519,702651,675750,7409750,3242324,88218,2684192,7409681,-115120,0,495837,6239035,837370,9229945,3524366,539592,11147635,-333324,4.2087,0.0998,0.0907,3.2054,2.1024,0.9093,0.1917,7.66,0.3138,0.0095,0.8452,0.2709,0.1972,29.0853,-1.0327,-0.0209,0
EduArtsHealthSocial,272938,237933,381958,681622,,-515748,7395426,540762,179654,3418577,7395426,-695403,0,84294,7937407,-855472,7777384,3418577,,778696,-299664,-4.0618,-0.0976,-0.1082,-4.0618,2.1633,1.1082,-0.1509,-2.8708,-0.7566,0.0351,0.5604,0.5241,0.0491,69.4446,-89.3035,-0.0241,0
Agriculture - Other,27655,186672,165931,145189,34569,146572,1168428,159017,8297,214327,1168428,103707,0,,214327,974842,1334359,359516,129979,345689,20741,0.3688,2.7115,0.7306,0.2199,3.25,0.2694,0.4077,17.6667,1.0095,0.0207,1.1429,,0.1244,46,30,-0.0674,0
InformationCommunication,64,1078268,692915,746289,99045,210807,269419,499844,30363,33327,269419,81399,0,513064,41664,124187,962334,145023,173735,1578112,-53374,0.8316,0.2213,0.1812,0.1911,1.8578,0.8188,1.4536,6.943,0.2825,0.0001,0.9285,0.6876,0.72,31.6735,5.158,-0.3551,1
Utilities,4011372,12212492,6342697,6216867,1334359,7660463,13259238,1270752,403764,4763591,13155531,3246092,103707,1393817,5358176,7988176,19601935,6060615,199117,13483244,125831,0.7649,0.6935,0.4095,0.5935,2.1707,0.5905,1.264,18.9726,1.2322,0.2046,1.0202,0.8694,0.3236,9.4247,44.3954,-0.1597,0
Wholesale,284872,1169189,602621,228554,1659,-12902,8869,427378,1229,,8869,-118726,0,211667,,382933,611490,102935,89604,1596566,374067,0.2688,1.6755,0.6262,,0.0862,0.3738,-0.1253,-10.4961,-0.0565,0.4659,2.6367,2.1725,0.9855,26.7686,-7.4363,0.0305,0
Agriculture - Other,-644364,22529,50917,291082,14769,29931,308108,36202,9039,,278967,6123,0,1569,,67943,359025,288071,49348,58731,-240165,4.2399,0.2334,0.1892,,0.9684,0.8108,0.1039,3.3113,0.1028,0,0.1749,0.0075,0.1418,61.6401,10.4252,-0.1146,0
